object
tortilla
mug
bowl
plate
microwave_oven
tortilla_package
banana
banana_slice
cutting_board
knife
jar
jar_lid
toothpicks
measuring_cup
paper_towel
thermometer
kettle
teabag
scale
coffee_grinder
paper_filter
spoon
fork
honey_jar
unknown
person
watch
peanut_butter_jar
jelly_jar
glove
