tortilla_nutella,tortilla_pb+jelly,tortilla_nutella+banana,tortilla_plain,tortilla_peanut-butter,tortilla_in-package,tortilla_rolled,tortilla_cut,tortilla_sliced,tortilla_ends-cut,tortilla_nutella+banana+cinnamon,tortilla_folded,tortilla_rolled+toothpicks,tortilla_hoi,mug_hoi,bowl_hoi,plate_hoi,microwave_oven_hoi,tortilla_package_hoi,banana_hoi,banana_slice_hoi,cutting_board_hoi,knife_hoi,jar_hoi,jar_lid_hoi,toothpicks_hoi,measuring_cup_hoi,paper_towel_hoi,thermometer_hoi,kettle_hoi,teabag_hoi,scale_hoi,coffee_grinder_hoi,paper_filter_hoi,spoon_hoi,fork_hoi,honey_jar_hoi,unknown_hoi,person_hoi,watch_hoi,peanut_butter_jar_hoi,jelly_jar_hoi,glove_hoi,step
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.07483897,0,0.0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08416822,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.030794753,0,0.0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64659905,0,0.0,0.0,0.0,0.0,0.0,0.0,0.13385609,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1
0.0,0.0,0.0,0.22727272727272727,0.0,0.5369318181818181,0.0,0.09090909090909091,0.0,0.0,0.0,0.5284090909090908,0.0,0.47931913,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.01360792,0,0.0,0.0,0,1
0.0,0.0,0.0,0.22729838978160513,0.0,0.1189019029790705,0.0,0.5286920720880681,0.0,0.0,0.0,0.1635032133622603,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.008741071,0,0.0,0.0,0,1
0.0,0.0,0.0,0.4608020464656875,0.0,0.06446043429274473,0.45454545454545453,0.08521372782574456,0.09090909090909091,0.09090909090909091,0.0,0.025469957402409902,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012333729,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1
0.0,0.0,0.0,0.4945283986809126,0.0,0.009487046679884033,0.04853959517045453,0.06457791408318511,0.012134898792613633,0.012134898792613633,0.0,0.38585897590732826,0.0,0.978218,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04974668,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1
0.0,0.0,0.0,0.449110009018222,0.0,0.0009497758982348502,0.004859440367330202,0.009498807924163197,0.0012148600918325506,0.0012148600918325506,0.0,0.5358814976781778,0.0,0.9581981,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0006424185,0,0.0,0.0,0,1
0.0,0.0,0.0,0.39434220534009634,0.0,9.508483380613481e-05,0.0004864927406319191,0.000950953350684124,0.00012162318515797978,0.00012162318515797978,0.0,0.604155250644936,0.0,0.87607396,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.001722074,0,0.0,0.0,0,1
0.0,0.0,0.0,0.4314728772272285,0.0,9.519219888336951e-06,4.8704206410003984e-05,9.520271200315152e-05,1.2176051602500996e-05,1.2176051602500996e-05,0.0,0.5683766987114587,0.0,0.9376255,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.00010229551,0,0.0,0.0,0,1
0.06818181818181818,0.0,0.0,0.5885784204966685,0.0,9.529968519192312e-07,4.875920078369692e-06,0.01663883677385917,1.218980019592423e-06,1.218980019592423e-06,0.0,0.33873029497001605,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1
0.0791955427689986,0.0,0.0,0.719090261543503,0.0,9.540729286868402e-08,4.88142572543084e-07,0.0016657624522901917,1.22035643135771e-07,1.22035643135771e-07,0.0,0.2012627398657796,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1
0.08670268876118248,0.0,0.0,0.7350192860909981,0.0,9.551502205069517e-09,4.8869375891955164e-08,0.022894037062134116,1.2217343972988791e-08,1.2217343972988791e-08,0.0,0.1555055558622231,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035641547,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.055470753,0,0.0,0.0,0,1
0.06065843027369177,0.0,0.0,0.7088110863376595,0.0,9.562287287515428e-10,4.892455676683316e-09,0.21194081469284234,0.003033725921267328,1.223113919170829e-09,0.0,0.01556811450213693,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06969556,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.021294624,0,0.0,0.0,0,2
0.08788060909102369,0.0,0.0,0.666343834494955,0.0,9.573084547941395e-11,4.897979994921759e-10,0.24391449049127356,0.00030371514540763773,1.2244949987304398e-10,0.0,0.0015585693244708312,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06963788,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.020409893,0,0.0,0.0,0,2
0.043997235993414124,0.0,0.0,0.8901307551704204,0.0,9.583894000098189e-12,4.9035105509462973e-11,0.03352016475780932,3.0405808548271357e-05,1.2258776377365743e-11,0.09090909090909091,0.009594287534840512,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.020645048,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,2
0.039603943590865665,0.0,0.0,0.568551672822993,0.0,9.59471565775211e-13,4.909047351800333e-12,0.003355801406493942,0.06818486219594606,1.2272618379500832e-12,0.3261691006747159,0.0009605120928358247,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.019423636,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,2
