tortilla_nutella,tortilla_pb+jelly,tortilla_nutella+banana,tortilla_plain,tortilla_peanut-butter,tortilla_in-package,tortilla_rolled,tortilla_cut,tortilla_sliced,tortilla_ends-cut,tortilla_nutella+banana+cinnamon,tortilla_folded,tortilla_rolled+toothpicks,tortilla_hoi,mug_hoi,bowl_hoi,plate_hoi,microwave_oven_hoi,tortilla_package_hoi,banana_hoi,banana_slice_hoi,cutting_board_hoi,knife_hoi,jar_hoi,jar_lid_hoi,toothpicks_hoi,measuring_cup_hoi,paper_towel_hoi,thermometer_hoi,kettle_hoi,teabag_hoi,scale_hoi,coffee_grinder_hoi,paper_filter_hoi,spoon_hoi,fork_hoi,honey_jar_hoi,unknown_hoi,person_hoi,watch_hoi,peanut_butter_jar_hoi,jelly_jar_hoi,glove_hoi,step
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13557138,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0030871003,0,0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0054995054,0,0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17275013,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0014039441,0,0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4926635,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.012801734,0,0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6429418,0,0.0,0.0,0.0,0.0,0.0,0.0,0.030175414,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5096849,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.00982891,0,0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53270704,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.011773414,0,0,0.0,0,1
0.0,0.0,0.13636363636363635,0.06818181818181818,0.0,0.34762989390980115,0.0,0.5110251686789773,0.09090909090909091,0.18181818181818182,0.0,0.05048717151988637,0.0,0.60750926,0,0.0,0.0,0.0,0.0,0.0,0.0,0.007493968,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.00017881623,0,0,0.0,0,1
0.09943181818181818,0.05113636363636363,0.013651761141690337,0.29702030528675427,0.125,0.03480224203403023,0.18181818181818182,0.19544594150713895,0.09280950372869318,0.1290158358487216,0.0,0.12750203865156928,0.0,0.5298444,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,1
0.012988133863969282,0.005119410428133876,0.0013667176033116193,0.907262978921856,0.012514114379882812,0.003484153899921758,0.01820234818892045,0.02260038763498719,0.009291429961608215,0.012916151413016698,0.0,0.029056825993655683,0.0,0.93850523,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.00021817388,0,0,0.0,0,1
0.0013002799420395274,0.0005125191012418573,0.00013682608330272726,0.652913979896919,0.0012528244697023183,0.00034880880336588525,0.0018222901377488259,0.0022625906871513507,0.0009301921383378827,0.001293073569043008,0.0,0.34071081014291676,0.0,0.8996319,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0008174723,0,0,0.0,0,1
0.0001301748153644003,5.130978123852272e-05,1.369805805281362e-05,0.7553134638604466,0.06830724209151234,3.492026609624592e-05,0.1138187984141006,0.022953787276503684,9.312424651542434e-05,0.00012945336435685997,0.0,0.03950284074100071,0.0,0.29409176,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008101895,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.006994033,0,0,0.0,0,1
1.3032180230801854e-05,0.008432149822195943,1.3713525220414759e-06,0.936065296520264,0.0068384371240602475,3.495969632834923e-06,0.015439697959683583,0.013084547259982779,9.32293977947539e-06,1.2959953667379127e-05,0.0,0.0201346095957236,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2648498,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.025010597,0,0,0.0,0,1
1.304689552220016e-06,0.0008441670987461485,1.3729009852774236e-07,0.9935993104624855,0.0006846158748010144,3.499917108311452e-07,0.001545713170066589,0.001309932168163254,9.33346678056916e-07,1.2974587404125132e-06,0.0,0.002015734459801369,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.00034761216,0,0,0.0,0,2
1.3061627429375494e-07,8.451202903554505e-05,1.3744511969612389e-08,0.7822959980848666,0.029631749118181075,3.503869041081456e-08,0.0001547458512696364,0.017176595673312808,0.11931827525823852,0.05113649352874028,0.0,0.00020180105271540505,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.006071298,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,2
0.01704546762183052,8.460745582614308e-06,1.3760031590671824e-09,0.09090909090909091,0.19296757502553524,0.6363636363636364,0.2727272727272727,0.23529559338148448,0.011945300353535505,0.05767624161385653,0.0,0.005413491243918018,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,3.8856833e-05,0,0,0.0,0,2
0.13502944730409813,8.470299036793894e-07,1.3775568735717446e-10,0.10655767267400569,0.012134898792613633,1.0,0.16538169167258523,0.16333495853761865,0.013979969748500493,0.024950273040096824,0.0,0.0005419603889670733,0.06392045454545454,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0035038202,0,0,0.0,0,2
0.27161783425263014,8.47986327826e-08,0.03941761365015476,0.04755245388316161,0.010802928273650732,1.0,0.10613148369487715,0.2188305210357922,0.04081718916004393,0.0024978445650646252,0.0,0.019230393598011566,0.029126535762440075,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017926654,0.82334805,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.010118989,0,0,0.0,0,2
